Nacionalidad;Provincias;Sexo;Ano;Total
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2018;826.456
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2017;795.271
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2016;792.627
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2015;811.128
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2014;879.953
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2013;960.121
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2012;1.015.054
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2011;1.067.585
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2010;1.079.944
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2009;1.063.803
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2008;1.005.381
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2007;866.910
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2006;800.512
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2005;780.752
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2004;664.255
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2003;589.215
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2002;444.440
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2001;305.656
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;2000;165.734
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;1999;134.165
TOTAL EXTRANJEROS;28 Madrid;Ambos sexos;1996;115.202
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2023;287.344
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2021;273.001
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2020;270.206
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2019;253.153
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2018;238.312
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2017;232.952
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2016;239.810
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2015;247.903
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2014;253.408
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2013;296.337
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2012;292.257
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2011;283.498
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2010;275.027
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2009;267.824
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2008;250.432
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2007;219.955
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2006;203.977
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2005;181.589
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2004;144.462
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2003;130.146
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2002;104.128
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2001;85.480
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;2000;73.419
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;1999;64.411
TOTAL EXTRANJEROS;29 M�laga;Ambos sexos;1996;59.614
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2023;226.765
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2021;222.324
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2020;222.217
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2019;211.239
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2018;202.432
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2017;198.265
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2016;201.255
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2015;208.355
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2014;215.869
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2013;231.022
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2012;238.393
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2011;240.863
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2010;241.865
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2009;235.991
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2008;225.625
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2007;201.700
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2006;189.053
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2005;165.016
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2004;132.918
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2003;113.912
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2002;83.511
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2001;55.458
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;2000;26.189
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;1999;17.237
TOTAL EXTRANJEROS;30 Murcia;Ambos sexos;1996;11.916
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2023;73.475
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2021;71.441
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2020;70.666
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2019;64.219
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2018;58.782
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2017;54.653
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2016;54.826
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2015;55.893
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2014;59.550
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2013;67.892
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2012;69.623
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2011;71.600
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2010;71.369
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2009;70.627
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2008;65.045
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2007;55.921
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2006;55.444
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2005;49.882
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2004;43.376
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2003;38.741
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2002;30.686
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2001;19.497
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;2000;9.188
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;1999;5.971
TOTAL EXTRANJEROS;31 Navarra;Ambos sexos;1996;4.313
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2023;16.525
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2021;16.057
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2020;15.633
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2019;14.171
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2018;13.264
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2017;12.765
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2016;13.052
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2015;13.554
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2014;14.586
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2013;16.417
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2012;16.946
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2011;16.750
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2010;16.711
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2009;15.558
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2008;14.006
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2007;12.424
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2006;12.116
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2005;11.343
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2004;10.283
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2003;10.055
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2002;9.132
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2001;7.927
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;2000;6.644
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;1999;5.983
TOTAL EXTRANJEROS;32 Ourense;Ambos sexos;1996;5.353
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2023;7.468
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2021;7.327
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2020;7.166
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2019;6.612
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2018;6.288
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2017;6.080
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2016;6.190
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2015;6.300
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2014;6.586
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2013;7.244
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2012;7.603
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2011;7.454
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2010;7.209
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2009;6.873
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2008;5.998
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2007;4.631
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2006;4.029
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2005;3.524
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2004;2.765
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2003;2.237
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2002;1.724
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2001;1.177
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;2000;790
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;1999;667
TOTAL EXTRANJEROS;34 Palencia;Ambos sexos;1996;651
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2023;142.828
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2021;143.898
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2020;146.721
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2019;138.560
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2018;131.478
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2017;125.716
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2016;126.817
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2015;131.298
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2014;139.912
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2013;154.789
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2012;157.867
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2011;156.395
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2010;154.052
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2009;151.294
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2008;142.757
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2007;123.899
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2006;113.782
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2005;108.793
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2004;91.080
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2003;89.370
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2002;69.484
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2001;52.379
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;2000;37.608
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;1999;30.582
TOTAL EXTRANJEROS;35 Palmas, Las;Ambos sexos;1996;25.527
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2023;38.808
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2021;38.018
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2020;37.800
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2019;34.006
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2018;31.413
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2017;30.131
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2016;30.558
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2015;31.967
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2014;34.796
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2013;39.408
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2012;40.638
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2011;39.914
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2010;39.794
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2009;39.485
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2008;36.269
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2007;31.805
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2006;28.180
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2005;27.235
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2004;22.617
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2003;20.312
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2002;15.214
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2001;11.373
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;2000;8.508
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;1999;7.062
TOTAL EXTRANJEROS;36 Pontevedra;Ambos sexos;1996;6.419
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2023;41.755
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2021;40.891
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2020;40.210
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2019;37.230
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2018;35.657
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2017;35.046
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2016;35.602
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2015;36.816
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2014;40.018
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2013;44.404
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2012;46.373
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2011;46.288
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2010;46.680
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2009;46.931
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2008;43.856
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2007;36.825
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2006;35.037
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2005;31.075
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2004;24.988
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2003;20.570
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2002;15.288
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2001;8.193
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;2000;4.397
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;1999;3.320
TOTAL EXTRANJEROS;26 Rioja, La;Ambos sexos;1996;2.539
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2023;15.856
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2021;15.269
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2020;14.893
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2019;13.287
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2018;12.336
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2017;11.752
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2016;12.215
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2015;12.798
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2014;13.937
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2013;16.271
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2012;17.831
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2011;17.669
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2010;17.506
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2009;17.319
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2008;15.355
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2007;12.307
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2006;12.504
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2005;11.080
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2004;8.838
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2003;7.034
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2002;4.867
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2001;3.684
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;2000;2.371
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;1999;1.980
TOTAL EXTRANJEROS;37 Salamanca;Ambos sexos;1996;1.968
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2023;145.661
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2021;143.928
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2020;145.821
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2019;138.474
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2018;128.713
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2017;121.042
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2016;122.597
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2015;121.809
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2014;127.226
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2013;146.445
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2012;152.974
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2011;150.614
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2010;153.327
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2009;149.910
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2008;141.090
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2007;126.837
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2006;119.665
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2005;113.467
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2004;94.701
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2003;90.123
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2002;73.654
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2001;55.551
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;2000;39.588
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;1999;32.095
TOTAL EXTRANJEROS;38 Santa Cruz de Tenerife;Ambos sexos;1996;29.691
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2023;18.218
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2021;18.022
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2020;17.965
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2019;16.864
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2018;16.140
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2017;16.016
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2016;16.774
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2015;17.625
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2014;18.948
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2013;20.797
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2012;21.730
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2011;21.206
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2010;21.074
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2009;21.512
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2008;20.451
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2007;15.729
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2006;12.810
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2005;11.933
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2004;9.370
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2003;7.470
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2002;5.335
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2001;2.480
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;2000;1.492
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;1999;1.150
TOTAL EXTRANJEROS;40 Segovia;Ambos sexos;1996;1.042
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2023;80.150
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2021;77.526
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2020;76.287
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2019;68.887
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2018;65.294
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2017;62.796
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2016;64.772
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2015;68.504
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2014;74.625
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2013;81.854
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2012;82.296
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2011;79.658
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2010;77.090
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2009;71.993
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2008;62.319
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2007;49.860
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2006;46.346
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2005;37.469
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2004;29.166
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2003;25.740
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2002;18.265
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2001;13.295
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;2000;9.197
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;1999;7.595
TOTAL EXTRANJEROS;41 Sevilla;Ambos sexos;1996;7.014
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2023;8.798
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2021;8.757
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2020;8.271
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2019;7.438
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2018;6.973
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2017;6.754
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2016;7.196
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2015;7.424
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2014;8.337
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2013;9.277
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2012;9.904
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2011;10.137
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2010;9.870
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2009;9.483
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2008;8.420
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2007;6.855
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2006;6.233
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2005;5.370
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2004;4.209
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2003;3.375
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2002;2.329
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2001;1.394
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;2000;619
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;1999;312
TOTAL EXTRANJEROS;42 Soria;Ambos sexos;1996;321
TOTAL EXTRANJEROS;43 Tarragona;Ambos sexos;2023;139.532
TOTAL EXTRANJEROS;43 Tarragona;Ambos sexos;2021;137.485
TOTAL EXTRANJEROS;43 Tarragona;Ambos sexos;2020;136.793
TOTAL EXTRANJEROS;43 Tarragona;Ambos sexos;2019;127.768
TOTAL EXTRANJEROS;43 Tarragona;Ambos sexos;2018;120.944
TOTAL EXTRANJEROS;43 Tarragona;Ambos sexos;2017;117.679
TOTAL EXTRANJEROS;43 Tarragona;Ambos sexos;2016;119.738
TOTAL EXTRANJEROS;43 Tarragona;Ambos sexos;2015;124.034
TOTAL EXTRANJEROS;43 Tarragona;Ambos sexos;2014;132.193
TOTAL EXTRANJEROS;43 Tarragona;Ambos sexos;2013;144.312
TOTAL EXTRANJEROS;43 Tarragona;Ambos sexos;2012;149.587
TOTAL EXTRANJEROS;43 Tarragona;Ambos sexos;2011;148.704
TOTAL EXTRANJEROS;43 Tarragona;Ambos sexos;2010;150.314
TOTAL EXTRANJEROS;43 Tarragona;Ambos sexos;2009;149.210
TOTAL EXTRANJEROS;43 Tarragona;Ambos sexos;2008;139.972
TOTAL EXTRANJEROS;43 Tarragona;Ambos sexos;2007;116.501
TOTAL EXTRANJEROS;43 Tarragona;Ambos sexos;2006;99.103
TOTAL EXTRANJEROS;43 Tarragona;Ambos sexos;2005;84.088
TOTAL EXTRANJEROS;43 Tarragona;Ambos sexos;2004;63.107
