Provincias;Edad (grupos quinquenales);Espanoles/Extranjeros;Sexo;Ano;Total
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2013;1.111.674
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2012;1.119.439
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2011;1.113.114
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2010;1.106.049
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2009;1.095.426
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2008;1.072.844
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2007;1.030.650
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2006;1.001.062
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2005;983.131
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2004;955.045
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2003;947.361
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2002;916.968
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2001;878.627
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;2000;845.630
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;1999;821.820
07 Balears, Illes;TOTAL EDADES;TOTAL;Ambos sexos;1998;796.483
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2022;590.963
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2021;588.155
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2020;587.245
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2019;576.703
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2018;567.105
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2017;561.074
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2016;556.538
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2015;554.801
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2014;553.641
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2013;557.071
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2012;559.348
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2011;555.537
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2010;550.845
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2009;544.347
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2008;532.449
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2007;513.057
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2006;499.163
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2005;490.489
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2004;476.999
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2003;473.113
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2002;458.619
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2001;441.287
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;2000;426.535
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;1999;415.462
07 Balears, Illes;TOTAL EDADES;TOTAL;Mujeres;1998;403.648
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2022;5.727.615
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2021;5.714.730
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2020;5.743.402
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2019;5.664.579
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2018;5.609.350
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2017;5.576.037
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2016;5.542.680
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2015;5.523.922
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2014;5.523.784
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2013;5.540.925
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2012;5.552.050
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2011;5.529.099
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2010;5.511.147
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2009;5.487.935
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2008;5.416.447
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2007;5.332.513
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2006;5.309.404
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2005;5.226.354
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2004;5.117.885
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2003;5.052.666
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2002;4.906.117
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2001;4.804.606
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;2000;4.736.277
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;1999;4.706.325
08 Barcelona;TOTAL EDADES;TOTAL;Ambos sexos;1998;4.666.271
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2022;2.930.763
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2021;2.923.480
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2020;2.939.086
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2019;2.901.890
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2018;2.875.884
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2017;2.857.416
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2016;2.837.909
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2015;2.827.562
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2014;2.824.744
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2013;2.829.522
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2012;2.829.656
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2011;2.813.471
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2010;2.800.843
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2009;2.784.798
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2008;2.748.088
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2007;2.708.794
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2006;2.693.628
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2005;2.654.840
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2004;2.605.639
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2003;2.573.319
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2002;2.507.218
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2001;2.466.638
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;2000;2.436.986
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;1999;2.422.777
08 Barcelona;TOTAL EDADES;TOTAL;Mujeres;1998;2.404.525
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.149.344
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.154.334
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.159.443
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.152.651
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2018;1.149.628
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2017;1.148.302
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2016;1.147.576
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2015;1.148.775
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2014;1.151.905
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2013;1.156.447
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2012;1.158.439
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2011;1.155.772
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2010;1.153.724
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2009;1.152.658
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2008;1.146.421
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2007;1.141.457
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2006;1.139.863
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2005;1.136.181
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2004;1.132.861
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2003;1.133.428
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2002;1.133.444
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2001;1.132.616
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;2000;1.132.729
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;1999;1.137.418
48 Bizkaia;TOTAL EDADES;TOTAL;Ambos sexos;1998;1.137.594
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2022;594.303
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2021;596.918
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2020;599.645
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2019;596.439
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2018;594.749
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2017;594.013
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2016;593.234
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2015;593.943
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2014;595.133
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2013;596.874
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2012;597.305
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2011;595.594
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2010;594.365
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2009;593.484
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2008;590.326
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2007;588.102
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2006;586.362
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2005;583.884
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2004;582.025
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2003;582.162
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2002;582.156
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2001;581.814
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;2000;581.849
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;1999;583.870
48 Bizkaia;TOTAL EDADES;TOTAL;Mujeres;1998;583.833
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2022;355.045
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2021;356.055
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2020;357.650
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2019;356.958
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2018;357.070
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2017;358.171
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2016;360.995
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2015;364.002
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2014;366.900
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2013;371.248
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2012;374.970
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2011;375.657
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2010;374.826
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2009;375.563
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2008;373.672
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2007;365.972
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2006;363.874
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2005;361.021
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2004;356.437
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2003;355.205
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2002;352.723
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2001;349.810
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;2000;347.240
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;1999;347.218
09 Burgos;TOTAL EDADES;TOTAL;Ambos sexos;1998;346.355
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2022;177.566
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2021;178.135
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2020;179.072
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2019;178.728
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2018;178.733
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2017;179.252
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2016;180.577
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2015;181.860
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2014;183.018
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2013;184.610
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2012;185.846
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2011;186.005
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2010;185.372
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2009;185.292
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2008;183.997
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2007;181.259
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2006;180.519
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2005;179.411
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2004;177.494
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2003;177.065
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2002;175.953
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2001;174.573
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;2000;173.545
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;1999;173.489
09 Burgos;TOTAL EDADES;TOTAL;Mujeres;1998;173.160
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2022;387.805
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2021;389.558
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2020;391.850
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2019;394.151
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2018;396.487
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2017;400.036
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2016;403.665
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2015;406.267
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2014;408.703
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2013;410.275
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2012;413.597
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2011;415.446
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2010;415.083
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2009;413.633
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2008;412.498
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2007;411.531
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2006;412.899
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2005;412.580
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2004;411.390
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2003;410.762
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2002;410.242
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2001;409.130
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;2000;407.546
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;1999;408.949
10 C�ceres;TOTAL EDADES;TOTAL;Ambos sexos;1998;405.616
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2022;195.849
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2021;196.607
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2020;197.766
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2019;198.763
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2018;199.868
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2017;201.542
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2016;203.380
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2015;204.565
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2014;205.741
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2013;206.517
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2012;207.963
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2011;208.873
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2010;208.725
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2009;207.995
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2008;206.549
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2007;206.050
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2006;206.306
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2005;205.836
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2004;205.205
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2003;204.673
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2002;204.394
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2001;203.935
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;2000;203.600
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;1999;203.984
10 C�ceres;TOTAL EDADES;TOTAL;Mujeres;1998;202.782
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2022;1.246.781
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2021;1.245.960
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2020;1.244.049
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2019;1.240.155
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2018;1.238.714
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2017;1.239.435
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2016;1.239.889
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2015;1.240.284
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2014;1.240.175
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2013;1.238.492
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2012;1.245.164
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2011;1.243.519
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2010;1.236.739
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2009;1.230.594
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2008;1.220.467
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2007;1.207.343
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2006;1.194.062
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2005;1.180.817
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2004;1.164.374
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2003;1.155.724
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2002;1.140.793
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2001;1.131.346
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;2000;1.125.105
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;1999;1.119.802
11 C�diz;TOTAL EDADES;TOTAL;Ambos sexos;1998;1.107.484
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2022;632.534
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2021;631.876
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2020;630.488
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2019;628.364
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2018;627.357
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2017;627.244
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2016;627.031
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2015;627.190
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2014;626.835
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2013;625.722
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2012;628.478
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2011;627.654
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2010;623.906
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2009;620.610
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2008;611.851
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2007;605.511
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2006;599.415
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2005;593.117
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2004;585.435
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2003;581.732
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2002;574.760
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2001;570.016
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;2000;567.142
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;1999;564.118
11 C�diz;TOTAL EDADES;TOTAL;Mujeres;1998;558.364
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2022;585.402
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2021;584.507
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2020;582.905
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2019;581.078
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2018;580.229
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2017;580.295
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2016;582.206
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2015;585.179
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2014;588.656
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2013;591.888
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2012;593.861
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2011;593.121
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2010;592.250
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2009;589.235
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2008;582.138
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2007;572.824
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2006;568.091
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2005;562.309
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2004;554.784
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2003;549.690
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2002;542.275
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2001;537.606
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;2000;531.159
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;1999;528.478
39 Cantabria;TOTAL EDADES;TOTAL;Ambos sexos;1998;527.137
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2022;301.684
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2021;301.129
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2020;300.346
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2019;299.277
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2018;298.665
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2017;298.487
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2016;299.218
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2015;300.391
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2014;301.874
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2013;303.245
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2012;303.862
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2011;303.249
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2010;302.319
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2009;300.500
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2008;296.669
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2007;292.541
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2006;290.222
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2005;287.512
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2004;283.877
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2003;281.381
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2002;277.783
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2001;275.639
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;2000;272.477
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;1999;270.983
39 Cantabria;TOTAL EDADES;TOTAL;Mujeres;1998;270.371
12 Castell�n/Castell�;TOTAL EDADES;TOTAL;Ambos sexos;2022;590.616
12 Castell�n/Castell�;TOTAL EDADES;TOTAL;Ambos sexos;2021;587.064
12 Castell�n/Castell�;TOTAL EDADES;TOTAL;Ambos sexos;2020;585.590
12 Castell�n/Castell�;TOTAL EDADES;TOTAL;Ambos sexos;2019;579.962
12 Castell�n/Castell�;TOTAL EDADES;TOTAL;Ambos sexos;2018;576.898
12 Castell�n/Castell�;TOTAL EDADES;TOTAL;Ambos sexos;2017;575.470
12 Castell�n/Castell�;TOTAL EDADES;TOTAL;Ambos sexos;2016;579.245
12 Castell�n/Castell�;TOTAL EDADES;TOTAL;Ambos sexos;2015;582.327
12 Castell�n/Castell�;TOTAL EDADES;TOTAL;Ambos sexos;2014;587.508
12 Castell�n/Castell�;TOTAL EDADES;TOTAL;Ambos sexos;2013;601.699
12 Castell�n/Castell�;TOTAL EDADES;TOTAL;Ambos sexos;2012;604.564
12 Castell�n/Castell�;TOTAL EDADES;TOTAL;Ambos sexos;2011;604.344
12 Castell�n/Castell�;TOTAL EDADES;TOTAL;Ambos sexos;2010;604.274
12 Castell�n/Castell�;TOTAL EDADES;TOTAL;Ambos sexos;2009;602.301
12 Castell�n/Castell�;TOTAL EDADES;TOTAL;Ambos sexos;2008;594.915
12 Castell�n/Castell�;TOTAL EDADES;TOTAL;Ambos sexos;2007;573.282
12 Castell�n/Castell�;TOTAL EDADES;TOTAL;Ambos sexos;2006;559.761
